# RxL_SN0003_calculated_noise_V_chan, 
# f (Hz), T_e_cal (K)
1102237312.000000, 16.721936
1103236096.000000, 16.919877
1104234752.000000, 16.943817
1105233408.000000, 16.792604
1106232192.000000, 16.896597
1107230848.000000, 16.785875
1108229632.000000, 16.959054
1109228288.000000, 16.972356
1110226944.000000, 17.035136
1111225728.000000, 16.935661
1112224384.000000, 17.046693
1113223040.000000, 17.177354
1114221824.000000, 17.104174
1115220480.000000, 17.183664
1116219136.000000, 17.118440
1117217920.000000, 17.206297
1118216576.000000, 17.052818
1119215360.000000, 17.287566
1120214016.000000, 17.088562
1121212672.000000, 17.180702
1122211456.000000, 17.257893
1123210112.000000, 17.365274
1124208768.000000, 17.507993
1125207552.000000, 17.655029
1126206208.000000, 17.347226
1127204992.000000, 17.364432
1128203648.000000, 17.577638
1129202304.000000, 17.482043
1130201088.000000, 17.563770
1131199744.000000, 17.522023
1132198400.000000, 17.741504
1133197184.000000, 17.432467
1134195840.000000, 17.503666
1135194496.000000, 17.582600
1136193280.000000, 17.756467
1137191936.000000, 17.423956
1138190720.000000, 17.589278
1139189376.000000, 17.481732
1140188032.000000, 17.517014
1141186816.000000, 17.638484
1142185472.000000, 17.662727
1143184128.000000, 17.588803
1144182912.000000, 17.642845
1145181568.000000, 17.677087
1146180224.000000, 17.558242
1147179008.000000, 17.463630
1148177664.000000, 17.492749
1149176448.000000, 17.509072
1150175104.000000, 17.391375
1151173760.000000, 17.306685
1152172544.000000, 17.424134
1153171200.000000, 17.259904
1154169856.000000, 17.234145
1155168640.000000, 17.624138
1156167296.000000, 17.192700
1157166080.000000, 17.420547
1158164736.000000, 17.348333
1159163392.000000, 17.192110
1160162176.000000, 17.087221
1161160832.000000, 17.058482
1162159488.000000, 17.155926
1163158272.000000, 17.032307
1164156928.000000, 16.977845
1165155584.000000, 16.832570
1166154368.000000, 17.022985
1167153024.000000, 16.898458
1168151808.000000, 16.754942
1169150464.000000, 16.716003
1170149120.000000, 16.801509
1171147904.000000, 16.659289
1172146560.000000, 16.579820
1173145216.000000, 16.606346
1174144000.000000, 16.656250
1175142656.000000, 16.429592
1176141312.000000, 16.380934
1177140096.000000, 16.315302
1178138752.000000, 16.340158
1179137536.000000, 16.282809
1180136192.000000, 16.121151
1181134848.000000, 16.148191
1182133632.000000, 16.309102
1183132288.000000, 16.082236
1184130944.000000, 16.024439
1185129728.000000, 15.927356
1186128384.000000, 15.983837
1187127168.000000, 16.007849
1188125824.000000, 15.908561
1189124480.000000, 15.953924
1190123264.000000, 15.766598
1191121920.000000, 15.915359
1192120576.000000, 16.010958
1193119360.000000, 15.937725
1194118016.000000, 15.708896
1195116672.000000, 15.652436
1196115456.000000, 15.712554
1197114112.000000, 15.813045
1198112896.000000, 15.876476
1199111552.000000, 15.691240
1200110208.000000, 15.614090
1201108992.000000, 15.664544
1202107648.000000, 15.832017
1203106304.000000, 15.572292
1204105088.000000, 15.656630
1205103744.000000, 15.659022
1206102528.000000, 15.659213
1207101184.000000, 15.522377
1208099840.000000, 15.651878
1209098624.000000, 15.585921
1210097280.000000, 15.953115
1211095936.000000, 15.534139
1212094720.000000, 15.690842
1213093376.000000, 15.704223
1214092032.000000, 15.523279
1215090816.000000, 15.686228
1216089472.000000, 15.686263
1217088256.000000, 15.761517
1218086912.000000, 15.950238
1219085568.000000, 15.900512
1220084352.000000, 16.020181
1221083008.000000, 15.992049
1222081664.000000, 15.931134
1223080448.000000, 15.900555
1224079104.000000, 16.052449
1225077760.000000, 15.814215
1226076544.000000, 16.299385
1227075200.000000, 16.194048
1228073984.000000, 16.037121
1229072640.000000, 16.045889
1230071296.000000, 16.339963
1231070080.000000, 16.309000
1232068736.000000, 16.084451
1233067392.000000, 16.527162
1234066176.000000, 16.384292
1235064832.000000, 16.628930
1236063616.000000, 16.438287
1237062272.000000, 16.684364
1238060928.000000, 16.531013
1239059712.000000, 16.806064
1240058368.000000, 16.752599
1241057024.000000, 16.954715
1242055808.000000, 16.723675
1243054464.000000, 17.059469
1244053120.000000, 17.178685
1245051904.000000, 17.097776
1246050560.000000, 17.121895
1247049344.000000, 17.223197
1248048000.000000, 17.224912
1249046656.000000, 17.563528
1250045440.000000, 17.557539
1251044096.000000, 17.625636
1252042752.000000, 17.759663
1253041536.000000, 17.567436
1254040192.000000, 17.859862
1255038848.000000, 18.046594
1256037632.000000, 17.991509
1257036288.000000, 18.056061
1258035072.000000, 18.356456
1259033728.000000, 18.205668
1260032384.000000, 18.206915
1261031168.000000, 18.144784
1262029824.000000, 18.156687
1263028480.000000, 18.266585
1264027264.000000, 18.453566
1265025920.000000, 18.466110
1266024704.000000, 18.405418
1267023360.000000, 18.517611
1268022016.000000, 18.396406
1269020800.000000, 18.545897
1270019456.000000, 18.801911
1271018112.000000, 18.709263
1272016896.000000, 18.847270
1273015552.000000, 18.885338
1274014208.000000, 18.843890
1275012992.000000, 19.150867
1276011648.000000, 18.916814
1277010432.000000, 19.173075
1278009088.000000, 18.990286
1279007744.000000, 19.052237
1280006528.000000, 19.194650
1281005184.000000, 19.158649
1282003840.000000, 19.157515
1283002624.000000, 19.023463
1284001280.000000, 19.193445
1285000064.000000, 19.223149
1285998720.000000, 19.091789
1286997376.000000, 19.196955
1287996160.000000, 19.269543
1288994816.000000, 19.166348
1289993472.000000, 19.046829
1290992256.000000, 18.892221
1291990912.000000, 19.197327
1292989568.000000, 18.986952
1293988352.000000, 19.013356
1294987008.000000, 19.116917
1295985792.000000, 19.130518
1296984448.000000, 18.900522
1297983104.000000, 18.933028
1298981888.000000, 18.860072
1299980544.000000, 18.923619
1300979200.000000, 19.084825
1301977984.000000, 18.856004
1302976640.000000, 18.959156
1303975296.000000, 18.831261
1304974080.000000, 18.867671
1305972736.000000, 19.036966
1306971520.000000, 18.727781
1307970176.000000, 18.941840
1308968832.000000, 18.629958
1309967616.000000, 18.754341
1310966272.000000, 18.461191
1311964928.000000, 18.762424
1312963712.000000, 18.588788
1313962368.000000, 18.409032
1314961152.000000, 18.572633
1315959808.000000, 18.580039
1316958464.000000, 18.277247
1317957248.000000, 18.296823
1318955904.000000, 18.454793
1319954560.000000, 18.106684
1320953344.000000, 18.326608
1321952000.000000, 18.393511
1322950656.000000, 18.220382
1323949440.000000, 18.076190
1324948096.000000, 18.200650
1325946880.000000, 18.260493
1326945536.000000, 18.142843
1327944192.000000, 18.160376
1328942976.000000, 17.797229
1329941632.000000, 17.928501
1330940288.000000, 17.979918
1331939072.000000, 17.872220
1332937728.000000, 17.837661
1333936384.000000, 17.948947
1334935168.000000, 18.081148
1335933824.000000, 17.892937
1336932608.000000, 17.991493
1337931264.000000, 17.792660
1338929920.000000, 17.777909
1339928704.000000, 17.668021
1340927360.000000, 17.798407
1341926016.000000, 17.741562
1342924800.000000, 17.666815
1343923456.000000, 17.810201
1344922240.000000, 17.571342
1345920896.000000, 17.617665
1346919552.000000, 17.572490
1347918336.000000, 17.619168
1348916992.000000, 17.412293
1349915648.000000, 17.539472
1350914432.000000, 17.472800
1351913088.000000, 17.406022
1352911744.000000, 17.473429
1353910528.000000, 17.536734
1354909184.000000, 17.403983
1355907968.000000, 17.535110
1356906624.000000, 17.576115
1357905280.000000, 17.444329
1358904064.000000, 17.422742
1359902720.000000, 17.543120
1360901376.000000, 17.644070
1361900160.000000, 17.557813
1362898816.000000, 17.548513
1363897472.000000, 17.532864
1364896256.000000, 17.559659
1365894912.000000, 17.510738
1366893696.000000, 17.484288
1367892352.000000, 17.568955
1368891008.000000, 17.317409
1369889792.000000, 17.500823
1370888448.000000, 17.586868
1371887104.000000, 17.377040
1372885888.000000, 17.383420
1373884544.000000, 17.274263
1374883328.000000, 17.462778
1375881984.000000, 17.483592
1376880640.000000, 17.340943
1377879424.000000, 17.575736
1378878080.000000, 17.128891
1379876736.000000, 17.345654
1380875520.000000, 17.106927
1381874176.000000, 17.310186
1382872832.000000, 17.264964
1383871616.000000, 17.153261
1384870272.000000, 17.293245
1385869056.000000, 17.319228
1386867712.000000, 17.372864
1387866368.000000, 17.448496
1388865152.000000, 17.338596
1389863808.000000, 17.285024
1390862464.000000, 17.283368
1391861248.000000, 17.472778
1392859904.000000, 17.375518
1393858688.000000, 17.281143
1394857344.000000, 17.231176
1395856000.000000, 17.381446
1396854784.000000, 17.180757
1397853440.000000, 17.286607
1398852096.000000, 17.322844
1399850880.000000, 17.246957
1400849536.000000, 17.293541
1401848192.000000, 17.475053
1402846976.000000, 17.240933
1403845632.000000, 17.277102
1404844416.000000, 17.771766
1405843072.000000, 17.757837
1406841728.000000, 17.424497
1407840512.000000, 17.495778
1408839168.000000, 17.487804
1409837824.000000, 17.728742
1410836608.000000, 17.837551
1411835264.000000, 17.472830
1412833920.000000, 17.749432
1413832704.000000, 17.628193
1414831360.000000, 17.672270
1415830144.000000, 17.684308
1416828800.000000, 17.316479
1417827456.000000, 17.500995
1418826240.000000, 17.218425
1419824896.000000, 17.436860
1420823552.000000, 17.227731
1421822336.000000, 17.245266
1422820992.000000, 17.111914
1423819776.000000, 17.003816
1424818432.000000, 16.983532
1425817088.000000, 16.978971
1426815872.000000, 16.821193
1427814528.000000, 16.926858
1428813184.000000, 16.982393
1429811968.000000, 16.880343
1430810624.000000, 16.857322
1431809280.000000, 16.613774
1432808064.000000, 16.765216
1433806720.000000, 16.648741
1434805504.000000, 16.914295
1435804160.000000, 16.543639
1436802816.000000, 16.537327
