# RxL_SN0003_calculated_noise_H_chan, 
# f (Hz), T_e_cal (K)
1252042752.000000, 18.218506
1253041536.000000, 18.295290
1254040192.000000, 18.150244
1255038848.000000, 18.254767
1256037632.000000, 18.527271
1257036288.000000, 18.524365
1258035072.000000, 18.715570
1259033728.000000, 18.574981
1260032384.000000, 18.725107
1261031168.000000, 18.687308
1262029824.000000, 18.912593
1263028480.000000, 18.918528
1264027264.000000, 19.082144
1265025920.000000, 19.229510
1266024704.000000, 19.159395
1267023360.000000, 19.331661
1268022016.000000, 19.397066
1269020800.000000, 19.447021
1270019456.000000, 19.443124
1271018112.000000, 19.491338
1272016896.000000, 19.693015
1273015552.000000, 19.852788
1274014208.000000, 19.916779
1275012992.000000, 19.879891
1276011648.000000, 19.763120
1277010432.000000, 20.047936
1278009088.000000, 20.211454
1279007744.000000, 20.114221
1280006528.000000, 20.108307
1281005184.000000, 20.006260
1282003840.000000, 20.306598
1283002624.000000, 20.321798
1284001280.000000, 20.285277
1285000064.000000, 20.641372
1285998720.000000, 20.617684
1286997376.000000, 20.618179
1287996160.000000, 20.740782
1288994816.000000, 20.646067
1289993472.000000, 20.630194
1290992256.000000, 20.800783
1291990912.000000, 20.873191
1292989568.000000, 20.652032
1293988352.000000, 20.900084
1294987008.000000, 20.958107
1295985792.000000, 20.924694
1296984448.000000, 20.791106
1297983104.000000, 21.088164
1298981888.000000, 20.999824
1299980544.000000, 21.059666
1300979200.000000, 20.932381
1301977984.000000, 20.852638
1302976640.000000, 21.120917
1303975296.000000, 20.927279
1304974080.000000, 21.023333
1305972736.000000, 21.007427
1306971520.000000, 21.036147
1307970176.000000, 21.101421
1308968832.000000, 20.965922
1309967616.000000, 20.960527
1310966272.000000, 21.037928
1311964928.000000, 20.954570
1312963712.000000, 21.078827
1313962368.000000, 20.927714
1314961152.000000, 20.990718
1315959808.000000, 20.886327
1316958464.000000, 20.781723
1317957248.000000, 21.019720
1318955904.000000, 20.859211
1319954560.000000, 20.935126
1320953344.000000, 20.801077
1321952000.000000, 20.832828
1322950656.000000, 20.792552
1323949440.000000, 20.752483
1324948096.000000, 21.002608
1325946880.000000, 20.656248
1326945536.000000, 20.768325
1327944192.000000, 20.683050
1328942976.000000, 20.759943
1329941632.000000, 20.491949
1330940288.000000, 20.600932
1331939072.000000, 20.453559
1332937728.000000, 20.637296
1333936384.000000, 20.369522
1334935168.000000, 20.484735
1335933824.000000, 20.326722
1336932608.000000, 20.265458
1337931264.000000, 20.329128
1338929920.000000, 20.293169
1339928704.000000, 20.402710
1340927360.000000, 20.171333
1341926016.000000, 20.606589
1342924800.000000, 20.102566
1343923456.000000, 20.019760
1344922240.000000, 20.142728
1345920896.000000, 19.998254
1346919552.000000, 20.046267
1347918336.000000, 20.199472
1348916992.000000, 20.024795
1349915648.000000, 20.065194
1350914432.000000, 20.045218
1351913088.000000, 20.004406
1352911744.000000, 20.137333
1353910528.000000, 19.843462
1354909184.000000, 20.044258
1355907968.000000, 19.840159
1356906624.000000, 19.754471
1357905280.000000, 19.805839
1358904064.000000, 19.715466
1359902720.000000, 19.994507
1360901376.000000, 19.900236
1361900160.000000, 19.733091
1362898816.000000, 19.802423
1363897472.000000, 19.408198
1364896256.000000, 19.756357
1365894912.000000, 19.807564
1366893696.000000, 19.448601
1367892352.000000, 19.602419
1368891008.000000, 19.520851
1369889792.000000, 19.649053
1370888448.000000, 19.428274
1371887104.000000, 19.318521
1372885888.000000, 19.494782
1373884544.000000, 19.679094
1374883328.000000, 19.448041
1375881984.000000, 19.436675
1376880640.000000, 19.395971
1377879424.000000, 19.344289
1378878080.000000, 19.336394
1379876736.000000, 19.438224
1380875520.000000, 19.205648
1381874176.000000, 19.369882
1382872832.000000, 19.294973
1383871616.000000, 19.221664
1384870272.000000, 19.111964
1385869056.000000, 19.292006
1386867712.000000, 19.264659
1387866368.000000, 19.233831
1388865152.000000, 19.377008
1389863808.000000, 19.360843
1390862464.000000, 19.225956
1391861248.000000, 19.437989
1392859904.000000, 19.130625
1393858688.000000, 19.263198
1394857344.000000, 19.228276
1395856000.000000, 19.070176
1396854784.000000, 19.032349
1397853440.000000, 19.050495
1398852096.000000, 19.199962
1399850880.000000, 19.288895
1400849536.000000, 19.093373
1401848192.000000, 19.242314
1402846976.000000, 19.188525
1403845632.000000, 19.288164
1404844416.000000, 19.139887
1405843072.000000, 19.192816
1406841728.000000, 19.022969
1407840512.000000, 19.280249
1408839168.000000, 19.070114
1409837824.000000, 19.221229
1410836608.000000, 19.323678
1411835264.000000, 19.383261
1412833920.000000, 19.369415
1413832704.000000, 19.004303
1414831360.000000, 19.333928
1415830144.000000, 19.103072
